代码,名称,当前价,信号强度,操作建议,逻辑说明
600722,金牛化工,16.94,标准,小仓试错,已收复2026-02-25的倍量阴线
002165,未知,12.76,标准,小仓试错,已收复2026-03-09的倍量阴线
002429,未知,11.94,标准,小仓试错,已收复2026-03-06的倍量阴线
