代码,名称,现价,左峰价,成交量比,RSI6,涨跌幅,买入信号强度,操作建议
603378,亚士创能,9.6,9.15,2.03,87.84,9.97,80%,试错观察：多头趋势，轻仓跟进
600746,江苏索普,6.31,6.26,8.03,84.89,9.93,80%,试错观察：多头趋势，轻仓跟进
002412,汉森制药,6.81,6.42,3.49,82.07,9.49,80%,试错观察：多头趋势，轻仓跟进
603387,基蛋生物,9.23,8.47,2.67,96.64,10.01,80%,试错观察：多头趋势，轻仓跟进
600829,人民同泰,9.89,8.99,2.13,97.01,10.01,80%,试错观察：多头趋势，轻仓跟进
601059,信达证券,17.23,16.88,2.65,72.0,4.3,70%,试错观察：多头趋势，轻仓跟进
601198,东兴证券,14.29,14.1,2.35,67.46,3.48,70%,试错观察：多头趋势，轻仓跟进
002103,广博股份,6.86,6.66,3.58,100.0,3.31,60%,观察
600354,敦煌种业,5.59,5.41,2.13,90.7,3.33,60%,观察
603367,辰欣药业,15.73,15.1,1.91,91.64,4.17,60%,观察
000860,顺鑫农业,10.89,10.53,2.19,89.06,6.45,60%,观察
