代码,名称,现价,涨跌幅,换手率,RSI14,历史期望,信号强度,全自动复盘逻辑
600821,金开新能,6.36,4.09%,11.16%,50.23,0%,90%,【倍量起爆】 精选观察：回踩支撑位不破可试错。
603998,方盛制药,9.78,5.27%,5.11%,53.61,0%,90%,【倍量起爆】 精选观察：回踩支撑位不破可试错。
600267,海正药业,11.33,5.2%,6.3%,67.83,0%,90%,【倍量起爆】 精选观察：回踩支撑位不破可试错。
002603,以岭药业,16.47,6.19%,4.17%,59.77,0%,90%,【倍量起爆】 精选观察：回踩支撑位不破可试错。
002746,仙坛股份,5.67,6.58%,5.3%,64.14,0%,90%,【倍量起爆】 精选观察：回踩支撑位不破可试错。
600557,康缘药业,13.03,5.08%,3.24%,61.11,0%,90%,【倍量起爆】 精选观察：回踩支撑位不破可试错。
002923,润都股份,11.28,5.72%,9.85%,61.74,0%,90%,【倍量起爆】 精选观察：回踩支撑位不破可试错。
000990,诚志股份,9.26,5.83%,7.97%,57.05,0%,90%,【倍量起爆】 精选观察：回踩支撑位不破可试错。
600839,四川长虹,7.38,8.05%,7.62%,60.82,0%,90%,【倍量起爆】 精选观察：回踩支撑位不破可试错。
601369,陕鼓动力,9.43,4.2%,3.03%,60.33,0%,90%,【倍量起爆】 精选观察：回踩支撑位不破可试错。
600428,中远海特,9.82,9.23%,8.91%,68.91,6.67%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
601608,中信重工,5.54,9.92%,4.47%,61.03,7.29%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
