等级,代码,名称,现价,量比,历史胜率,周线RSI,距60日线,今日涨跌
B-普通超跌,002201,九鼎新材,12.15,0.97,0.0%,35.2,3.1%,4.8%
S-周线底启动,600331,宏达股份,16.06,0.8,50.0%,33.2,5.5%,1.3%
S-周线底启动,601212,白银有色,6.66,1.03,0.0%,17.4,26.1%,4.7%
S-周线底启动,000506,招金黄金,14.2,1.03,0.0%,15.8,22.3%,1.8%
S-周线底启动,002378,章源钨业,29.05,0.94,0.0%,27.9,17.2%,3.4%
S-周线底启动,000425,徐工机械,9.65,0.61,50.0%,19.5,10.4%,0.8%
SSS-战略共振,600428,中远海特,7.87,0.71,100.0%,0.0,8.9%,0.0%
SSS-战略共振,002842,翔鹭钨业,33.66,1.06,100.0%,34.6,5.0%,5.2%
SSS-战略共振,603187,海容冷链,13.32,0.55,100.0%,23.4,13.2%,1.2%
SSS-战略共振,603588,高能环境,12.99,0.59,66.7%,8.8,12.0%,2.9%
SSS-战略共振,600711,盛屯矿业,12.45,0.67,100.0%,22.8,11.3%,3.8%
