等级,代码,名称,现价,量比,历史胜率,周线RSI,距60日线,今日涨跌
B-普通超跌,002951,金时科技,15.17,0.54,33.3%,37.3,0.7%,1.5%
B-普通超跌,002448,中原内配,15.65,0.86,50.0%,39.3,-3.1%,3.6%
S-周线底启动,002085,万丰奥威,13.87,1.11,50.0%,32.1,8.3%,1.8%
S-周线底启动,600469,风神股份,6.51,0.88,50.0%,30.8,8.2%,1.9%
S-周线底启动,002324,普利特,15.17,0.9,50.0%,34.8,8.0%,3.7%
S-周线底启动,600578,京能电力,5.0,0.96,33.3%,25.3,5.9%,2.5%
S-周线底启动,600468,百利电气,7.65,1.1,50.0%,18.5,5.3%,2.8%
S-周线底启动,002131,利欧股份,6.82,1.1,33.3%,26.7,19.3%,5.7%
S-周线底启动,002892,科力尔,10.45,1.01,0.0%,26.6,10.6%,0.6%
SSS-战略共振,601156,东航物流,16.34,1.23,100.0%,23.6,8.7%,2.1%
SSS-战略共振,002478,常宝股份,9.25,0.65,100.0%,24.6,18.6%,3.4%
SSS-战略共振,000798,中水渔业,9.33,0.75,66.7%,21.8,14.9%,0.2%
SSS-战略共振,600966,博汇纸业,6.33,0.78,100.0%,26.9,14.3%,-0.3%
SSS-战略共振,603588,高能环境,14.79,1.46,80.0%,34.3,-6.7%,1.4%
