等级,代码,名称,现价,量比,历史胜率,周线RSI,距60日线,今日涨跌
S-周线底启动,000565,渝三峡Ａ,7.3,0.6,50.0%,19.1,9.7%,0.4%
S-周线底启动,002556,辉隆股份,5.99,0.96,0.0%,29.3,6.1%,3.8%
S-周线底启动,002171,楚江新材,10.93,0.84,50.0%,23.3,19.8%,1.7%
S-周线底启动,000630,铜陵有色,5.91,1.04,33.3%,22.9,13.7%,1.7%
S-周线底启动,001914,招商积余,9.92,0.74,50.0%,15.8,12.0%,1.7%
S-周线底启动,603505,金石资源,17.78,0.65,50.0%,29.6,10.6%,1.8%
SSS-战略共振,600219,南山铝业,6.06,0.96,100.0%,26.0,7.4%,3.1%
SSS-战略共振,601611,中国核建,14.94,0.94,100.0%,32.2,6.3%,2.9%
SSS-战略共振,002139,拓邦股份,12.6,0.74,100.0%,32.0,5.7%,0.8%
SSS-战略共振,002585,双星新材,6.97,0.7,100.0%,33.9,4.7%,2.2%
SSS-战略共振,600595,中孚实业,7.1,0.73,80.0%,21.8,21.1%,0.1%
SSS-战略共振,002639,雪人集团,17.42,0.89,100.0%,21.5,20.4%,1.9%
SSS-战略共振,601600,中国铝业,11.51,0.83,66.7%,25.0,14.2%,1.9%
SSS-战略共振,000612,焦作万方,11.46,0.89,100.0%,26.0,14.0%,1.6%
SSS-战略共振,002249,大洋电机,9.34,0.84,75.0%,12.4,13.1%,0.4%
SSS-战略共振,600497,驰宏锌锗,7.95,0.93,66.7%,30.1,12.7%,2.2%
SSS-战略共振,600596,新安股份,11.06,0.64,100.0%,25.4,12.1%,1.8%
SSS-战略共振,002532,天山铝业,15.79,0.68,100.0%,24.3,12.0%,1.9%
SSS-战略共振,600063,皖维高新,6.75,0.63,100.0%,29.2,0.6%,1.4%
SSS-战略共振,601118,海南橡胶,6.8,0.65,66.7%,32.9,-0.6%,0.6%
