等级,代码,名称,现价,量比,历史胜率,周线RSI,距60日线,今日涨跌
A-高胜率点火,603886,元祖股份,12.77,0.54,100.0%,38.8,1.9%,1.4%
A-高胜率点火,605388,均瑶健康,7.01,0.75,60.0%,35.7,-1.7%,2.6%
B-普通超跌,002413,雷科防务,13.14,0.76,50.0%,38.9,6.4%,3.1%
B-普通超跌,002471,中超控股,8.46,0.72,0.0%,37.9,5.1%,1.0%
S-周线底启动,603977,国泰集团,13.87,0.56,40.0%,27.0,7.8%,0.9%
S-周线底启动,601212,白银有色,7.63,0.78,0.0%,21.9,21.1%,-0.4%
S-周线底启动,000506,招金黄金,16.0,1.07,0.0%,30.7,17.3%,1.1%
S-周线底启动,002716,湖南白银,11.56,0.7,50.0%,25.8,17.0%,1.2%
S-周线底启动,601611,中国核建,13.34,1.17,50.0%,22.5,13.7%,1.8%
S-周线底启动,600095,湘财股份,8.88,0.57,40.0%,19.8,12.0%,0.3%
SSS-战略共振,002169,智光电气,13.1,0.7,100.0%,28.9,9.6%,1.3%
SSS-战略共振,600435,北方导航,14.45,0.88,66.7%,31.4,9.5%,1.8%
SSS-战略共振,601615,明阳智能,15.84,1.08,60.0%,15.3,24.8%,4.1%
SSS-战略共振,000798,中水渔业,9.31,0.6,66.7%,24.5,15.3%,0.5%
SSS-战略共振,000859,国风新材,9.04,0.87,100.0%,26.7,13.2%,1.6%
