等级,代码,名称,现价,量比,历史胜率,周线RSI,距60日线,今日涨跌
S-周线底启动,600336,澳柯玛,7.14,0.85,0.0%,30.0,4.7%,2.3%
S-周线底启动,603218,日月股份,10.71,0.76,0.0%,0.0,23.1%,0.8%
S-周线底启动,600313,农发种业,5.9,0.92,0.0%,6.0,19.8%,1.7%
S-周线底启动,000798,中水渔业,7.84,0.95,42.9%,9.3,19.8%,1.7%
S-周线底启动,002099,海翔药业,5.37,0.85,50.0%,5.2,19.4%,0.4%
S-周线底启动,002783,凯龙股份,7.52,0.9,33.3%,21.1,17.9%,3.9%
S-周线底启动,002166,莱茵生物,7.48,1.02,50.0%,15.1,15.9%,1.2%
S-周线底启动,601068,中铝国际,5.06,0.98,50.0%,0.8,15.4%,2.2%
S-周线底启动,600127,金健米业,5.84,1.11,0.0%,4.5,14.9%,0.9%
S-周线底启动,600848,上海临港,8.16,1.05,33.3%,20.2,13.6%,2.0%
SSS-战略共振,002357,富临运业,9.39,0.58,100.0%,17.1,26.0%,0.6%
SSS-战略共振,002532,天山铝业,13.43,2.51,100.0%,10.8,22.7%,0.2%
SSS-战略共振,601118,海南橡胶,5.8,0.95,100.0%,21.2,16.0%,4.1%
SSS-战略共振,601061,中信金属,11.35,1.77,100.0%,16.2,13.4%,1.9%
