等级,代码,名称,现价,量比,历史胜率,周线RSI,距60日线,今日涨跌
B-普通超跌,600198,大唐电信,8.4,0.93,0.0%,35.8,5.7%,-0.6%
S-周线底启动,603500,祥和实业,10.19,0.8,50.0%,32.6,9.1%,0.9%
S-周线底启动,600468,百利电气,5.25,1.05,0.0%,16.7,27.7%,2.5%
S-周线底启动,600510,黑牡丹,6.9,0.97,50.0%,6.7,27.0%,3.1%
S-周线底启动,002795,永和智控,6.45,1.17,0.0%,0.8,25.4%,1.4%
S-周线底启动,001210,金房能源,20.34,0.91,50.0%,2.6,21.2%,2.4%
S-周线底启动,002029,七 匹 狼,8.0,0.81,33.3%,29.5,15.4%,3.1%
S-周线底启动,002579,中京电子,18.06,1.36,33.3%,34.5,-11.5%,10.0%
SSS-战略共振,000592,平潭发展,6.11,0.81,100.0%,8.9,47.6%,3.2%
SSS-战略共振,002639,雪人集团,12.59,1.42,66.7%,12.0,26.4%,3.4%
SSS-战略共振,600973,宝胜股份,6.27,0.97,100.0%,28.1,17.0%,2.3%
SSS-战略共振,605006,山东玻纤,17.52,1.34,80.0%,32.0,-4.3%,9.4%
