等级,代码,名称,现价,量比,历史胜率,周线RSI,距60日线,今日涨跌
A-高胜率点火,600250,南京商旅,11.51,0.72,66.7%,35.3,2.5%,-0.9%
S-周线底启动,600651,飞乐音响,6.85,0.7,0.0%,15.1,11.6%,0.6%
