等级,代码,名称,现价,量比,历史胜率,周线RSI,距60日线,今日涨跌
A-高胜率点火,002798,帝欧水华,6.57,0.85,100.0%,36.8,-4.4%,0.3%
A-高胜率点火,002928,华夏航空,11.05,1.41,100.0%,35.3,-2.3%,3.8%
B-普通超跌,600054,黄山旅游,12.61,0.75,0.0%,40.4,-5.6%,1.9%
B-普通超跌,002727,一心堂,13.73,0.63,50.0%,38.7,-2.1%,1.1%
B-普通超跌,002609,捷顺科技,9.92,0.59,0.0%,35.9,-0.8%,0.4%
B-普通超跌,688575,亚辉龙,15.01,1.06,0.0%,38.3,-0.7%,1.2%
B-普通超跌,600651,飞乐音响,8.03,0.78,0.0%,36.8,-0.6%,0.4%
S-周线底启动,002317,众生药业,19.15,0.97,50.0%,17.3,9.7%,0.8%
S-周线底启动,600593,大连圣亚,41.44,0.68,40.0%,0.0,9.3%,1.4%
S-周线底启动,601086,国芳集团,9.71,0.8,33.3%,16.1,6.4%,0.1%
S-周线底启动,002670,国盛证券,16.07,1.09,50.0%,19.5,5.2%,1.3%
S-周线底启动,002737,葵花药业,14.09,1.1,33.3%,16.2,4.5%,0.4%
S-周线底启动,605108,同庆楼,19.14,0.65,50.0%,29.5,4.1%,0.8%
S-周线底启动,002187,广百股份,7.18,0.78,0.0%,15.2,10.3%,1.3%
S-周线底启动,603511,爱慕股份,15.6,1.08,50.0%,18.9,1.8%,0.5%
S-周线底启动,600838,上海九百,11.15,0.65,0.0%,21.9,0.9%,0.4%
S-周线底启动,603043,广州酒家,17.76,1.05,50.0%,35.0,0.2%,0.6%
S-周线底启动,603232,格尔软件,22.01,0.94,33.3%,29.4,-0.8%,0.1%
SSS-战略共振,603883,老百姓,15.02,1.08,100.0%,30.7,3.1%,0.5%
SSS-战略共振,002836,新宏泽,15.07,0.75,100.0%,27.8,3.0%,1.8%
SSS-战略共振,605337,李子园,11.98,0.51,100.0%,33.2,2.9%,0.6%
SSS-战略共振,600827,百联股份,8.91,0.57,100.0%,22.0,2.3%,0.3%
SSS-战略共振,601528,瑞丰银行,5.46,1.34,83.3%,31.6,0.8%,0.6%
SSS-战略共振,603217,元利科技,25.14,1.08,100.0%,34.0,-0.7%,-0.0%
