等级,代码,名称,现价,量比,历史胜率,周线RSI,距60日线,今日涨跌
A-高胜率点火,000050,深天马Ａ,9.33,0.61,100.0%,36.4,0.5%,0.0%
A-高胜率点火,002064,华峰化学,11.99,0.85,100.0%,38.7,-9.7%,4.8%
A-高胜率点火,603458,勘设股份,10.8,0.6,100.0%,41.3,-9.6%,0.6%
B-普通超跌,000830,鲁西化工,17.55,0.86,20.0%,35.6,-5.8%,2.7%
B-普通超跌,002392,北京利尔,8.03,0.53,0.0%,36.3,-1.1%,0.5%
B-普通超跌,688575,亚辉龙,15.01,1.06,0.0%,38.3,-0.7%,1.2%
B-普通超跌,600774,汉商集团,9.83,0.69,25.0%,35.6,-0.1%,1.3%
S-周线底启动,600593,大连圣亚,41.44,0.68,40.0%,0.0,9.3%,1.4%
S-周线底启动,600326,西藏天路,10.69,0.59,50.0%,28.6,4.7%,0.4%
S-周线底启动,002731,萃华珠宝,11.34,1.16,0.0%,21.9,18.6%,4.6%
S-周线底启动,000546,金圆股份,5.79,0.7,0.0%,23.4,11.5%,2.1%
S-周线底启动,603232,格尔软件,22.01,0.94,33.3%,29.4,-0.8%,0.1%
SSS-战略共振,002846,英联股份,15.78,1.21,66.7%,29.3,6.9%,1.9%
SSS-战略共振,600333,长春燃气,5.73,0.65,75.0%,33.8,5.9%,0.4%
SSS-战略共振,002584,西陇科学,8.78,0.76,60.0%,27.9,4.7%,1.3%
SSS-战略共振,002515,金字火腿,5.98,0.91,100.0%,25.6,4.5%,0.7%
SSS-战略共振,603527,众源新材,10.7,0.56,66.7%,28.6,3.2%,1.4%
SSS-战略共振,002227,奥 特 迅,10.0,0.63,66.7%,17.3,25.0%,1.4%
SSS-战略共振,002705,新宝股份,14.15,0.74,60.0%,30.7,2.9%,-0.3%
SSS-战略共振,603217,元利科技,25.14,1.08,100.0%,34.0,-0.7%,-0.0%
