等级,代码,名称,现价,量比,历史胜率,周线RSI,距60日线,今日涨跌
A-高胜率点火,002027,分众传媒,5.29,0.73,66.7%,38.6,-1.4%,2.9%
B-普通超跌,601865,福莱特,11.18,1.74,50.0%,35.1,7.0%,-4.8%
B-普通超跌,002238,天威视讯,6.17,0.93,50.0%,35.5,6.6%,2.5%
B-普通超跌,600744,华银电力,7.73,1.6,50.0%,35.6,5.8%,-1.9%
B-普通超跌,600992,贵绳股份,10.44,0.88,50.0%,36.2,5.5%,2.9%
B-普通超跌,000705,浙江震元,6.92,1.36,50.0%,35.1,5.4%,3.1%
B-普通超跌,002030,达安基因,5.65,1.03,50.0%,37.7,2.4%,0.7%
B-普通超跌,002561,徐家汇,6.78,1.34,50.0%,35.8,2.2%,2.7%
B-普通超跌,601007,金陵饭店,6.72,1.48,50.0%,35.6,1.5%,2.9%
B-普通超跌,600305,恒顺醋业,6.96,1.58,50.0%,36.6,1.5%,2.2%
B-普通超跌,601988,中国银行,5.82,0.81,50.0%,39.6,1.5%,0.9%
B-普通超跌,002566,益盛药业,6.79,0.9,50.0%,35.7,1.4%,3.4%
B-普通超跌,002563,森马服饰,6.18,0.85,50.0%,35.7,-3.3%,2.8%
B-普通超跌,601999,出版传媒,6.12,1.27,50.0%,37.0,-1.3%,3.0%
B-普通超跌,002382,蓝帆医疗,6.07,0.92,50.0%,37.5,-0.1%,1.5%
S-周线底启动,002300,太阳电缆,7.9,1.99,50.0%,34.9,9.8%,10.0%
S-周线底启动,603041,美思德,11.03,0.95,50.0%,33.8,9.2%,3.4%
S-周线底启动,600642,申能股份,8.37,0.86,50.0%,19.6,8.9%,0.4%
S-周线底启动,603231,索宝蛋白,15.66,1.23,50.0%,33.2,8.1%,1.9%
S-周线底启动,603378,亚士创能,5.55,1.43,50.0%,33.7,7.6%,-0.4%
S-周线底启动,603326,我乐家居,6.78,0.74,50.0%,34.2,7.6%,4.0%
S-周线底启动,000096,广聚能源,7.9,0.89,50.0%,34.6,7.5%,1.7%
S-周线底启动,002120,韵达股份,6.8,0.89,50.0%,33.3,7.4%,1.3%
S-周线底启动,603111,康尼机电,5.87,1.13,50.0%,32.7,6.5%,1.7%
S-周线底启动,000791,甘肃能源,7.94,1.17,50.0%,34.6,6.5%,1.5%
S-周线底启动,002758,浙农股份,7.96,1.62,50.0%,32.8,5.8%,2.3%
S-周线底启动,002852,道道全,7.88,1.65,50.0%,34.5,5.6%,3.7%
S-周线底启动,002090,金智科技,9.52,0.77,50.0%,33.1,5.3%,1.6%
S-周线底启动,600461,洪城环境,8.99,0.94,50.0%,35.0,5.2%,1.0%
S-周线底启动,002429,兆驰股份,7.99,0.95,50.0%,29.5,45.9%,-2.0%
S-周线底启动,000501,武商集团,7.28,1.04,50.0%,34.0,4.8%,2.5%
S-周线底启动,600630,龙头股份,6.79,1.08,50.0%,29.8,39.3%,2.4%
S-周线底启动,002282,博深股份,5.95,1.39,50.0%,33.4,38.6%,1.9%
S-周线底启动,002809,红墙股份,8.31,1.09,50.0%,33.7,35.4%,3.9%
