等级,代码,名称,现价,量比,历史胜率,周线RSI,距60日线,今日涨跌
S-周线底启动,000881,中广核技,6.67,1.81,50.0%,33.6,32.4%,3.7%
S-周线底启动,603128,华贸物流,5.32,0.84,50.0%,33.6,3.9%,1.3%
S-周线底启动,002100,天康生物,7.28,1.22,50.0%,35.0,3.9%,2.8%
S-周线底启动,600377,宁沪高速,11.97,0.96,50.0%,33.1,3.2%,0.9%
S-周线底启动,603126,中材节能,6.1,0.97,50.0%,33.0,28.9%,2.4%
S-周线底启动,002873,新天药业,8.26,1.19,50.0%,33.6,27.3%,2.5%
S-周线底启动,002286,保龄宝,8.19,1.04,50.0%,32.8,27.2%,2.4%
S-周线底启动,002392,北京利尔,7.58,0.89,50.0%,31.9,27.1%,1.1%
S-周线底启动,000410,沈阳机床,5.06,1.63,50.0%,33.4,25.4%,3.7%
S-周线底启动,600623,华谊集团,8.5,1.01,50.0%,33.3,25.4%,2.3%
S-周线底启动,000610,西安旅游,5.89,1.02,50.0%,33.0,25.3%,2.6%
S-周线底启动,603135,中重科技,9.59,0.9,50.0%,14.7,25.2%,1.2%
S-周线底启动,600173,卧龙新能,6.3,1.07,50.0%,33.5,23.8%,1.3%
S-周线底启动,002735,王子新材,12.01,0.54,50.0%,18.3,23.8%,0.4%
S-周线底启动,002369,卓翼科技,5.89,1.0,50.0%,33.9,22.8%,-0.8%
S-周线底启动,003037,三和管桩,5.84,1.17,50.0%,33.5,22.5%,2.5%
S-周线底启动,603390,通达电气,10.18,1.07,50.0%,32.0,21.6%,1.8%
S-周线底启动,600727,鲁北化工,7.67,1.0,50.0%,34.2,21.3%,1.9%
S-周线底启动,000020,深华发Ａ,11.15,0.74,50.0%,33.3,20.7%,2.1%
S-周线底启动,600032,浙江新能,7.65,1.92,50.0%,34.3,20.1%,4.2%
S-周线底启动,603801,志邦家居,6.0,1.11,50.0%,34.0,20.0%,4.0%
S-周线底启动,600883,博闻科技,7.69,0.77,50.0%,33.7,19.7%,3.1%
S-周线底启动,002700,万憬能源,6.06,1.66,50.0%,31.0,19.2%,1.7%
S-周线底启动,002442,龙星科技,5.13,2.04,50.0%,33.0,18.0%,4.1%
S-周线底启动,002646,天佑德酒,7.21,2.53,50.0%,34.0,17.8%,6.0%
S-周线底启动,002786,银宝山新,7.84,1.03,50.0%,32.8,16.2%,2.1%
S-周线底启动,002905,金逸影视,7.85,1.49,50.0%,34.1,15.4%,4.0%
S-周线底启动,002883,中设股份,8.81,0.73,50.0%,33.2,15.4%,0.2%
S-周线底启动,000531,穗恒运Ａ,5.92,0.73,50.0%,33.1,14.9%,1.2%
S-周线底启动,603616,韩建河山,5.53,1.22,50.0%,32.0,14.6%,4.3%
S-周线底启动,002719,麦趣尔,6.06,1.0,50.0%,32.3,13.6%,3.4%
S-周线底启动,600847,万里股份,12.54,0.92,50.0%,29.7,13.2%,2.9%
S-周线底启动,000726,鲁  泰Ａ,6.0,1.44,50.0%,33.9,12.7%,1.7%
S-周线底启动,002908,德生科技,7.29,0.88,50.0%,34.3,12.2%,1.8%
S-周线底启动,002930,宏川智慧,9.02,0.8,50.0%,27.5,12.0%,1.4%
S-周线底启动,600774,汉商集团,7.2,1.35,50.0%,34.0,11.2%,3.9%
S-周线底启动,000553,安道麦A,5.48,0.9,50.0%,30.2,11.1%,0.9%
S-周线底启动,600810,神马股份,6.54,1.54,50.0%,33.4,100.9%,2.5%
S-周线底启动,002926,华西证券,8.34,0.8,50.0%,33.3,10.5%,1.0%
S-周线底启动,002884,凌霄泵业,16.3,1.39,50.0%,34.7,1.7%,1.2%
S-周线底启动,000421,南京公用,5.47,1.35,50.0%,34.8,1.6%,2.6%
S-周线底启动,601985,中国核电,8.85,0.61,50.0%,33.0,1.4%,0.6%
S-周线底启动,600178,东安动力,10.15,3.01,50.0%,33.7,-2.7%,7.0%
S-周线底启动,002923,润都股份,11.49,1.38,50.0%,34.6,-1.1%,3.1%
S-周线底启动,603980,吉华集团,6.93,0.96,50.0%,34.6,-0.1%,1.8%
SSS-战略共振,600007,中国国贸,18.49,0.97,100.0%,28.5,7.4%,1.0%
