等级,代码,名称,现价,量比,历史胜率,周线RSI,距60日线,今日涨跌
S-周线底启动,600084,中信尼雅,6.59,0.74,50.0%,16.0,4.3%,1.1%
SSS-战略共振,605008,长鸿高科,11.9,1.5,100.0%,18.4,7.1%,0.6%
SSS-战略共振,000590,启迪药业,11.03,1.06,66.7%,10.3,6.6%,2.4%
