等级,代码,名称,现价,量比,历史胜率,周线RSI,距60日线,今日涨跌
A-高胜率点火,603223,恒通股份,9.8,0.71,75.0%,38.3,2.5%,0.8%
A-高胜率点火,601033,永兴股份,15.32,0.77,66.7%,36.2,0.2%,0.5%
A-高胜率点火,600490,鹏欣资源,8.93,0.67,100.0%,38.5,-9.3%,3.7%
A-高胜率点火,600817,宇通重工,11.81,0.59,60.0%,37.7,-3.9%,1.3%
B-普通超跌,000830,鲁西化工,17.67,0.55,20.0%,36.7,-6.3%,0.7%
B-普通超跌,688575,亚辉龙,15.01,1.06,0.0%,38.3,-0.7%,1.2%
S-周线底启动,600593,大连圣亚,41.44,0.68,40.0%,0.0,9.3%,1.4%
S-周线底启动,000505,京粮控股,7.2,0.61,40.0%,16.5,8.2%,0.4%
S-周线底启动,000610,西安旅游,10.66,0.83,33.3%,21.1,16.7%,3.2%
S-周线底启动,000735,罗 牛 山,7.87,0.7,0.0%,21.3,11.7%,1.7%
S-周线底启动,603232,格尔软件,22.01,0.94,33.3%,29.4,-0.8%,0.1%
SSS-战略共振,603093,南华期货,18.23,0.69,100.0%,17.2,5.0%,0.6%
SSS-战略共振,002654,万润科技,14.0,0.56,100.0%,33.0,3.8%,1.8%
SSS-战略共振,000783,长江证券,8.08,0.66,80.0%,32.4,3.1%,1.5%
SSS-战略共振,603718,海利生物,5.43,0.72,100.0%,24.2,19.0%,1.3%
SSS-战略共振,002038,双鹭药业,6.61,0.54,100.0%,25.1,15.2%,0.2%
SSS-战略共振,000911,广农糖业,6.78,0.54,100.0%,28.7,12.3%,1.8%
SSS-战略共振,603217,元利科技,25.14,1.08,100.0%,34.0,-0.7%,-0.0%
