等级,代码,名称,现价,量比,历史胜率,周线RSI,距60日线,今日涨跌
A-高胜率点火,001914,招商积余,9.99,1.87,100.0%,38.0,3.4%,2.5%
B-普通超跌,600884,杉杉股份,15.27,1.06,0.0%,36.1,-4.0%,2.0%
SSS-战略共振,002038,双鹭药业,6.23,0.5,66.7%,10.1,8.3%,-0.8%
SSS-战略共振,603886,元祖股份,11.95,0.68,100.0%,14.3,6.5%,-0.1%
SSS-战略共振,000739,普洛药业,16.82,0.92,100.0%,23.4,5.8%,2.6%
SSS-战略共振,600966,博汇纸业,6.06,0.58,100.0%,17.6,15.8%,0.3%
SSS-战略共振,000973,佛塑科技,17.14,0.84,100.0%,30.1,-0.1%,2.6%
