等级,代码,名称,现价,量比,历史胜率,周线RSI,距60日线,今日涨跌
A-高胜率点火,605155,西大门,19.2,0.84,66.7%,39.6,-6.8%,-0.5%
A-高胜率点火,603896,寿仙谷,20.84,0.84,100.0%,37.0,-2.6%,-0.0%
A-高胜率点火,002928,华夏航空,11.05,1.41,100.0%,35.3,-2.3%,3.8%
A-高胜率点火,603926,铁流股份,23.46,0.63,66.7%,42.3,-18.8%,0.3%
B-普通超跌,002646,天佑德酒,8.95,0.78,0.0%,35.7,0.9%,1.0%
B-普通超跌,600616,金枫酒业,5.51,1.07,50.0%,37.1,0.1%,0.7%
B-普通超跌,002574,明牌珠宝,6.35,1.13,0.0%,42.1,-3.6%,0.0%
B-普通超跌,002727,一心堂,13.73,0.63,50.0%,38.7,-2.1%,1.1%
B-普通超跌,688575,亚辉龙,15.01,1.06,0.0%,38.3,-0.7%,1.2%
S-周线底启动,002317,众生药业,19.15,0.97,50.0%,17.3,9.7%,0.8%
S-周线底启动,600593,大连圣亚,41.44,0.68,40.0%,0.0,9.3%,1.4%
S-周线底启动,601086,国芳集团,9.71,0.8,33.3%,16.1,6.4%,0.1%
S-周线底启动,002670,国盛证券,16.07,1.09,50.0%,19.5,5.2%,1.3%
S-周线底启动,603848,好太太,18.04,0.84,33.3%,27.1,4.8%,-0.1%
S-周线底启动,002737,葵花药业,14.09,1.1,33.3%,16.2,4.5%,0.4%
S-周线底启动,000501,武商集团,9.75,0.71,0.0%,18.3,4.2%,1.4%
S-周线底启动,603269,海鸥股份,12.42,0.77,50.0%,24.6,2.4%,0.2%
S-周线底启动,600375,汉马科技,5.95,0.75,25.0%,29.9,2.2%,0.3%
S-周线底启动,002702,海欣食品,6.63,0.75,50.0%,28.3,13.9%,3.4%
S-周线底启动,002565,顺灏股份,15.97,0.88,50.0%,18.2,-3.7%,3.6%
S-周线底启动,002582,好想你,11.97,0.88,50.0%,31.4,-1.6%,2.5%
S-周线底启动,600135,乐凯胶片,9.68,1.28,50.0%,8.0,-1.4%,0.6%
S-周线底启动,603232,格尔软件,22.01,0.94,33.3%,29.4,-0.8%,0.1%
S-周线底启动,002419,天虹股份,5.71,0.68,50.0%,22.4,-0.4%,1.2%
SSS-战略共振,600095,湘财股份,10.72,1.24,60.0%,23.0,4.9%,0.8%
SSS-战略共振,603883,老百姓,15.02,1.08,100.0%,30.7,3.1%,0.5%
SSS-战略共振,002561,徐家汇,8.77,0.95,100.0%,17.7,3.1%,0.5%
SSS-战略共振,605300,佳禾食品,11.65,0.71,66.7%,30.1,3.0%,0.3%
SSS-战略共振,002836,新宏泽,15.07,0.75,100.0%,27.8,3.0%,1.8%
SSS-战略共振,002029,七 匹 狼,11.39,0.57,100.0%,17.9,2.9%,0.7%
SSS-战略共振,601566,九牧王,11.7,0.73,75.0%,16.1,14.9%,0.7%
SSS-战略共振,600846,同济科技,13.0,1.74,100.0%,10.8,11.2%,0.0%
SSS-战略共振,603477,巨星农牧,17.4,1.11,66.7%,32.6,0.3%,1.2%
SSS-战略共振,603037,凯众股份,16.53,0.66,100.0%,29.3,-7.3%,0.1%
SSS-战略共振,603116,红蜻蜓,6.42,0.88,75.0%,24.6,-2.9%,0.2%
SSS-战略共振,603217,元利科技,25.14,1.08,100.0%,34.0,-0.7%,-0.0%
