等级,代码,名称,现价,量比,历史胜率,周线RSI,距60日线,今日涨跌
S-周线底启动,603626,科森科技,21.8,0.71,50.0%,20.7,9.8%,-0.5%
S-周线底启动,002877,智能自控,7.94,0.59,0.0%,21.8,9.6%,0.0%
S-周线底启动,603165,荣晟环保,15.41,0.81,50.0%,7.1,6.9%,-0.3%
S-周线底启动,601798,蓝科高新,7.37,0.66,50.0%,16.0,17.5%,0.3%
S-周线底启动,002698,博实股份,11.68,0.95,50.0%,3.8,15.2%,1.7%
S-周线底启动,002031,巨轮智能,5.88,0.69,50.0%,27.9,10.4%,0.5%
S-周线底启动,002951,金时科技,16.91,0.67,42.9%,33.6,-3.2%,3.6%
SSS-战略共振,002209,达 意 隆,11.42,0.61,100.0%,11.2,25.3%,0.4%
SSS-战略共振,002009,天奇股份,20.97,0.74,100.0%,18.6,15.0%,1.9%
SSS-战略共振,002196,方正电机,12.78,0.92,66.7%,24.5,11.1%,0.2%
