周期,胜率%,平均收益%
持有1天,50.00%,0.21%
持有3天,50.63%,0.41%
持有5天,49.96%,0.58%
持有7天,48.19%,0.50%
持有14天,48.65%,1.22%
持有20天,49.92%,2.52%
持有30天,50.33%,3.52%
