等级,代码,名称,现价,量比,历史胜率,周线RSI,距60日线,今日涨跌
B-普通超跌,603172,万丰股份,22.91,1.08,50.0%,37.7,-8.5%,0.5%
S-周线底启动,600679,上海凤凰,12.23,0.84,50.0%,8.7,9.2%,-0.6%
S-周线底启动,603901,永创智能,13.25,1.35,25.0%,5.5,8.6%,-0.7%
S-周线底启动,600706,曲江文旅,10.18,0.71,50.0%,0.0,7.9%,-1.2%
S-周线底启动,000058,深 赛 格,8.56,0.77,0.0%,5.2,7.9%,-0.7%
S-周线底启动,002527,新时达,14.98,0.8,40.0%,12.2,7.8%,-1.1%
S-周线底启动,000810,创维数字,11.0,0.79,50.0%,11.9,7.5%,-0.6%
S-周线底启动,603278,大业股份,11.69,0.77,25.0%,15.3,7.1%,-0.8%
S-周线底启动,603079,圣达生物,17.47,0.68,50.0%,0.0,6.9%,-0.7%
S-周线底启动,002103,广博股份,8.96,0.97,0.0%,12.1,6.6%,-0.8%
S-周线底启动,002907,华森制药,14.14,0.61,33.3%,20.3,6.5%,0.1%
S-周线底启动,002769,普路通,11.1,0.6,0.0%,9.3,6.5%,-0.9%
S-周线底启动,002691,冀凯股份,8.23,0.7,50.0%,23.5,6.2%,-1.0%
S-周线底启动,600198,大唐电信,9.1,0.85,0.0%,14.6,6.2%,-0.4%
S-周线底启动,002347,泰尔股份,9.26,0.75,0.0%,19.0,5.4%,0.1%
S-周线底启动,600143,金发科技,18.11,0.86,50.0%,14.6,5.1%,0.1%
S-周线底启动,002410,广联达,12.77,0.89,33.3%,17.0,4.6%,0.2%
S-周线底启动,002275,桂林三金,13.89,0.6,0.0%,9.2,4.3%,-0.4%
S-周线底启动,600728,佳都科技,6.39,0.88,50.0%,18.8,4.2%,0.6%
S-周线底启动,600736,苏州高新,6.47,0.67,50.0%,14.6,3.4%,-1.4%
S-周线底启动,601777,千里科技,10.52,0.84,50.0%,26.8,3.3%,0.4%
S-周线底启动,002702,海欣食品,6.15,0.84,50.0%,26.8,22.2%,-1.1%
S-周线底启动,600877,电科芯片,18.18,0.75,0.0%,8.9,2.9%,-0.4%
S-周线底启动,002115,三维通信,13.65,0.7,50.0%,20.8,2.0%,0.4%
S-周线底启动,000892,欢瑞世纪,6.62,0.67,42.9%,17.5,14.6%,-0.2%
S-周线底启动,000036,华联控股,5.16,0.71,33.3%,0.0,13.6%,-1.2%
S-周线底启动,000678,襄阳轴承,12.65,0.76,50.0%,4.9,13.5%,-1.4%
S-周线底启动,003016,欣贺股份,8.41,0.88,33.3%,22.0,12.6%,-1.3%
S-周线底启动,002565,顺灏股份,14.56,1.46,50.0%,26.7,11.7%,2.4%
S-周线底启动,002752,昇兴股份,6.33,0.74,33.3%,20.1,10.4%,-0.9%
S-周线底启动,002765,蓝黛科技,10.99,0.84,50.0%,2.6,10.3%,-0.5%
S-周线底启动,600783,鲁信创投,22.36,0.74,50.0%,20.1,1.5%,0.1%
S-周线底启动,600986,浙文互联,11.19,1.09,33.3%,29.5,-5.9%,2.5%
S-周线底启动,002201,九鼎新材,12.32,0.82,50.0%,18.0,-4.2%,-0.4%
S-周线底启动,600481,双良节能,7.68,0.82,20.0%,32.6,-2.5%,0.3%
S-周线底启动,002131,利欧股份,8.61,0.75,0.0%,34.5,-15.3%,-0.7%
S-周线底启动,600058,五矿发展,12.94,0.84,40.0%,19.7,-10.4%,0.9%
S-周线底启动,002010,传化智联,6.39,1.01,33.3%,19.8,-1.5%,-1.1%
SSS-战略共振,603679,华体科技,14.99,0.76,100.0%,21.8,7.9%,-1.1%
SSS-战略共振,600712,南宁百货,6.22,1.04,100.0%,15.6,7.9%,0.3%
SSS-战略共振,603677,奇精机械,16.86,0.76,100.0%,12.2,7.9%,-2.0%
SSS-战略共振,605337,李子园,11.41,0.72,100.0%,28.2,7.5%,-1.0%
SSS-战略共振,002599,盛通股份,7.68,0.63,66.7%,19.7,6.9%,0.1%
SSS-战略共振,605303,园林股份,17.26,0.74,100.0%,21.4,6.5%,-1.6%
SSS-战略共振,603898,好莱客,14.09,1.08,100.0%,25.9,4.1%,0.7%
SSS-战略共振,600138,中青旅,9.47,0.71,66.7%,14.7,4.1%,-0.3%
SSS-战略共振,603219,富佳股份,16.78,1.03,100.0%,0.0,3.2%,-0.7%
SSS-战略共振,000572,海马汽车,6.43,0.87,80.0%,14.6,20.2%,-1.7%
SSS-战略共振,000796,凯撒旅业,5.41,0.73,100.0%,11.9,19.5%,-1.3%
SSS-战略共振,600678,四川金顶,11.39,0.7,75.0%,10.5,13.1%,-0.6%
SSS-战略共振,603528,多伦科技,8.91,0.99,100.0%,7.9,12.5%,-0.4%
SSS-战略共振,000955,欣龙控股,5.42,0.84,66.7%,21.7,10.6%,-1.8%
SSS-战略共振,002373,千方科技,10.72,0.84,66.7%,0.0,10.5%,-0.4%
SSS-战略共振,000850,华茂股份,5.45,0.85,100.0%,13.9,1.9%,-0.7%
SSS-战略共振,002196,方正电机,14.99,0.68,100.0%,20.3,1.7%,-0.7%
SSS-战略共振,603028,赛福天,9.63,0.76,100.0%,31.7,-4.7%,-1.2%
SSS-战略共振,601615,明阳智能,20.71,0.9,75.0%,30.6,-12.6%,2.4%
