等级,代码,名称,现价,量比,历史胜率,周线RSI,距60日线,今日涨跌
A-高胜率点火,600714,金瑞矿业,18.63,1.17,66.7%,37.3,-9.2%,3.7%
B-普通超跌,600367,红星发展,22.87,1.24,50.0%,42.5,-9.5%,2.6%
S-周线底启动,600422,昆药集团,11.4,0.98,0.0%,7.5,8.3%,1.4%
S-周线底启动,000403,派林生物,13.12,0.67,20.0%,27.9,5.8%,0.9%
S-周线底启动,002918,蒙娜丽莎,11.37,0.55,0.0%,0.0,31.7%,1.8%
S-周线底启动,603901,永创智能,11.42,0.65,25.0%,4.6,23.1%,0.7%
S-周线底启动,600588,用友网络,11.79,0.66,40.0%,8.6,19.7%,1.4%
S-周线底启动,600728,佳都科技,5.62,0.73,50.0%,16.6,17.5%,0.5%
S-周线底启动,600879,航天电子,21.22,0.75,50.0%,19.9,16.8%,-0.4%
S-周线底启动,002892,科力尔,10.95,0.59,0.0%,13.0,14.6%,0.5%
S-周线底启动,601696,中银证券,12.29,0.6,25.0%,12.0,13.8%,1.0%
S-周线底启动,601108,财通证券,7.67,0.56,50.0%,2.3,12.7%,0.9%
SSS-战略共振,003025,思进智能,13.68,0.54,100.0%,17.4,6.9%,0.2%
SSS-战略共振,603668,天马科技,11.17,1.04,100.0%,0.9,33.5%,4.5%
SSS-战略共振,002268,电科网安,16.85,0.67,100.0%,17.2,17.0%,1.5%
SSS-战略共振,600635,大众公用,5.86,0.62,66.7%,25.8,10.1%,1.4%
