等级,代码,名称,现价,量比,历史胜率,周线RSI,距60日线,今日涨跌
S-周线底启动,600692,亚通股份,5.61,1.11,25.0%,4.0,25.9%,3.3%
S-周线底启动,603086,先达股份,5.34,1.32,50.0%,4.3,25.2%,2.9%
S-周线底启动,002279,久其软件,5.86,1.03,50.0%,19.4,25.1%,2.4%
S-周线底启动,002799,环球印务,6.2,0.92,33.3%,1.8,25.0%,2.5%
S-周线底启动,603098,森特股份,10.53,0.75,50.0%,7.1,24.6%,-0.2%
S-周线底启动,603165,荣晟环保,13.12,0.55,0.0%,9.3,24.2%,0.7%
S-周线底启动,601116,三江购物,10.16,1.3,50.0%,20.4,24.1%,2.9%
S-周线底启动,002097,山河智能,7.36,1.1,50.0%,3.1,24.0%,1.8%
S-周线底启动,002363,隆基机械,6.12,1.01,0.0%,5.0,24.0%,1.7%
S-周线底启动,603528,多伦科技,6.03,1.2,33.3%,10.7,23.9%,2.9%
S-周线底启动,600138,中青旅,6.66,0.96,33.3%,4.9,23.7%,2.0%
S-周线底启动,600706,曲江文旅,6.95,1.46,33.3%,5.0,23.5%,3.3%
S-周线底启动,603028,赛福天,6.68,1.4,0.0%,0.4,23.5%,3.2%
S-周线底启动,603022,新通联,8.25,1.2,0.0%,0.3,23.4%,3.2%
S-周线底启动,600128,苏豪弘业,7.8,1.06,50.0%,4.0,23.1%,2.8%
S-周线底启动,002322,理工能科,9.8,1.08,0.0%,4.5,23.1%,1.0%
S-周线底启动,002177,御银股份,5.79,0.95,50.0%,6.9,23.1%,2.3%
S-周线底启动,000626,远大控股,6.5,1.14,0.0%,18.7,23.0%,2.7%
S-周线底启动,600463,空港股份,7.92,1.02,50.0%,7.2,23.0%,3.8%
S-周线底启动,605033,美邦股份,17.11,1.11,40.0%,2.5,23.0%,2.8%
S-周线底启动,002802,洪汇新材,10.8,1.21,50.0%,0.0,22.9%,2.7%
S-周线底启动,603073,彩蝶实业,15.32,1.01,0.0%,5.6,22.8%,2.8%
S-周线底启动,603982,泉峰汽车,5.73,1.08,50.0%,5.7,22.7%,2.5%
S-周线底启动,600444,国机通用,13.17,0.88,50.0%,1.7,22.6%,1.5%
S-周线底启动,603332,苏州龙杰,10.4,1.11,0.0%,0.9,22.6%,2.9%
S-周线底启动,002825,纳尔股份,8.27,0.86,0.0%,2.7,22.5%,0.6%
S-周线底启动,600313,农发种业,5.35,1.31,0.0%,11.4,22.5%,2.1%
S-周线底启动,605050,福然德,9.55,1.03,25.0%,1.2,22.0%,2.0%
S-周线底启动,000913,钱江摩托,10.41,1.15,0.0%,12.9,21.9%,1.6%
S-周线底启动,002037,保利联合,6.34,1.05,0.0%,2.4,21.7%,1.6%
S-周线底启动,002591,恒大高新,6.32,1.15,50.0%,0.0,21.6%,3.3%
S-周线底启动,002576,通达动力,14.27,1.06,50.0%,0.5,21.4%,0.8%
S-周线底启动,605001,威奥股份,5.58,0.92,50.0%,6.1,21.3%,2.4%
S-周线底启动,002029,七 匹 狼,7.81,0.9,50.0%,19.5,21.0%,2.2%
S-周线底启动,603709,中源家居,13.9,1.13,50.0%,4.9,20.9%,2.7%
S-周线底启动,603598,引力传媒,17.5,1.08,50.0%,10.5,20.5%,2.0%
S-周线底启动,002918,蒙娜丽莎,10.25,0.94,33.3%,5.7,20.1%,2.0%
S-周线底启动,002117,东港股份,7.95,0.63,33.3%,6.1,20.1%,0.9%
S-周线底启动,002105,信隆健康,5.06,0.9,33.3%,3.8,19.9%,2.4%
S-周线底启动,002598,山东章鼓,6.41,1.15,33.3%,0.0,19.8%,2.6%
S-周线底启动,605368,蓝天燃气,6.18,1.12,33.3%,10.8,19.7%,1.3%
S-周线底启动,002590,万安科技,10.01,0.75,0.0%,12.5,19.2%,0.1%
S-周线底启动,603182,嘉华股份,11.79,1.03,40.0%,4.6,18.3%,3.4%
S-周线底启动,600560,金自天正,11.31,1.11,50.0%,9.7,18.0%,2.1%
S-周线底启动,002583,海能达,8.03,1.11,50.0%,26.5,18.0%,4.4%
S-周线底启动,002877,智能自控,7.18,1.0,0.0%,19.1,17.9%,2.0%
S-周线底启动,002373,千方科技,7.29,1.07,25.0%,17.8,17.6%,1.5%
S-周线底启动,002752,昇兴股份,5.76,1.33,33.3%,0.0,16.2%,4.4%
S-周线底启动,002331,皖通科技,7.54,0.89,50.0%,12.8,15.4%,2.0%
S-周线底启动,603711,香飘飘,11.55,1.16,0.0%,4.0,15.1%,4.0%
S-周线底启动,000948,南天信息,12.2,1.17,33.3%,12.5,14.9%,2.6%
S-周线底启动,000695,滨海能源,12.62,0.89,50.0%,18.5,13.4%,1.0%
S-周线底启动,002283,天润工业,9.64,0.98,50.0%,23.7,12.6%,-0.1%
SSS-战略共振,600333,长春燃气,5.18,1.12,60.0%,11.3,6.9%,3.2%
SSS-战略共振,600158,中体产业,6.85,1.1,100.0%,0.8,53.7%,1.6%
SSS-战略共振,001376,百通能源,10.56,1.01,100.0%,11.0,33.2%,1.5%
SSS-战略共振,002405,四维图新,6.61,0.99,100.0%,1.7,29.1%,2.2%
SSS-战略共振,002209,达 意 隆,10.57,0.95,100.0%,13.9,28.6%,1.8%
SSS-战略共振,600212,绿能慧充,5.28,1.11,100.0%,3.6,27.3%,1.5%
SSS-战略共振,002474,榕基软件,5.88,1.07,66.7%,17.4,27.2%,3.2%
SSS-战略共振,600480,凌云股份,8.4,0.81,100.0%,10.3,26.8%,1.1%
SSS-战略共振,002492,恒基达鑫,5.49,0.79,100.0%,0.0,26.3%,1.5%
SSS-战略共振,600137,浪莎股份,16.74,0.76,100.0%,4.5,24.8%,3.1%
SSS-战略共振,603421,鼎信通讯,6.16,0.8,100.0%,5.3,24.6%,0.2%
SSS-战略共振,002188,中天服务,5.03,0.94,100.0%,6.6,23.4%,2.6%
SSS-战略共振,603817,海峡环保,5.3,1.21,100.0%,5.5,23.4%,3.7%
SSS-战略共振,600778,友好集团,5.07,0.86,66.7%,8.3,21.5%,3.7%
SSS-战略共振,603227,雪峰科技,7.14,0.93,100.0%,14.6,21.2%,1.7%
SSS-战略共振,002098,浔兴股份,6.58,1.17,66.7%,4.2,21.0%,2.8%
SSS-战略共振,003003,天元股份,10.29,1.07,66.7%,5.8,20.5%,3.4%
SSS-战略共振,002441,众业达,7.95,0.92,100.0%,7.3,19.2%,1.9%
SSS-战略共振,002732,燕塘乳业,12.69,1.09,100.0%,0.0,18.4%,2.3%
SSS-战略共振,600682,南京新百,5.33,1.24,100.0%,20.0,18.4%,3.5%
SSS-战略共振,600356,恒丰纸业,7.68,1.19,66.7%,5.9,17.4%,3.6%
SSS-战略共振,000159,国际实业,5.43,0.95,100.0%,17.7,17.4%,0.9%
SSS-战略共振,002406,远东传动,6.66,0.9,100.0%,20.5,16.3%,1.5%
SSS-战略共振,600148,长春一东,14.86,1.06,100.0%,5.5,15.7%,2.4%
SSS-战略共振,002404,嘉欣丝绸,5.78,0.99,100.0%,27.4,15.5%,1.0%
SSS-战略共振,600546,山煤国际,11.3,1.04,100.0%,21.7,13.7%,3.4%
