等级,代码,名称,现价,量比,历史胜率,周线RSI,距60日线,今日涨跌
S-周线底启动,000890,法尔胜,8.2,0.92,50.0%,6.3,48.7%,1.7%
S-周线底启动,600722,金牛化工,8.36,0.99,0.0%,8.1,40.4%,3.0%
S-周线底启动,605500,森林包装,6.31,1.4,0.0%,0.6,34.4%,2.1%
S-周线底启动,603105,芯能科技,6.97,1.13,40.0%,3.7,34.2%,2.4%
S-周线底启动,600126,杭钢股份,6.19,1.12,50.0%,11.7,33.6%,1.0%
S-周线底启动,002221,东华能源,5.42,0.89,42.9%,12.6,32.5%,3.0%
S-周线底启动,605136,丽人丽妆,7.29,1.04,0.0%,4.8,31.4%,2.2%
S-周线底启动,002879,长缆科技,13.36,1.36,33.3%,4.7,30.7%,1.8%
S-周线底启动,002769,普路通,6.75,1.3,0.0%,14.0,30.4%,3.4%
S-周线底启动,002339,积成电子,7.0,1.06,50.0%,5.0,30.4%,1.0%
S-周线底启动,000598,兴蓉环境,6.52,0.84,0.0%,32.3,3.6%,1.6%
S-周线底启动,002471,中超控股,6.09,1.12,0.0%,20.9,29.9%,1.0%
S-周线底启动,600969,郴电国际,7.69,0.95,50.0%,21.4,29.4%,0.8%
S-周线底启动,000856,冀东装备,7.36,1.22,50.0%,4.8,29.2%,2.9%
S-周线底启动,003040,楚天龙,10.85,1.17,0.0%,2.9,28.2%,2.2%
S-周线底启动,002278,神开股份,7.72,1.24,25.0%,2.8,28.0%,2.4%
S-周线底启动,603089,正裕工业,8.59,1.25,33.3%,6.0,27.8%,2.9%
S-周线底启动,002858,力盛体育,11.16,0.68,50.0%,14.0,27.7%,2.3%
S-周线底启动,000819,岳阳兴长,11.71,0.79,50.0%,0.0,27.0%,3.4%
S-周线底启动,600241,时代万恒,6.67,0.93,50.0%,5.9,27.0%,2.8%
S-周线底启动,600250,南京商旅,7.92,1.23,33.3%,6.7,26.9%,2.7%
S-周线底启动,603177,德创环保,8.49,0.52,50.0%,21.0,26.9%,2.7%
S-周线底启动,603331,百达精工,10.8,1.09,0.0%,9.9,26.4%,1.3%
S-周线底启动,002347,泰尔股份,5.94,1.08,0.0%,4.6,26.2%,1.5%
