等级,代码,名称,现价,量比,历史胜率,周线RSI,距60日线,今日涨跌
S-周线底启动,600415,小商品城,12.36,1.1,0.0%,14.4,16.8%,1.6%
SSS-战略共振,002427,尤夫股份,6.52,0.66,100.0%,29.4,8.7%,0.9%
