等级,代码,名称,现价,量比,历史胜率,周线RSI,距60日线,今日涨跌
S-周线底启动,002800,天顺股份,16.91,0.79,50.0%,1.3,16.9%,0.4%
SSS-战略共振,002598,山东章鼓,8.16,0.71,100.0%,8.8,17.9%,-1.3%
