等级,代码,名称,现价,量比,历史胜率,周线RSI,距60日线,今日涨跌
S-周线底启动,603018,华设集团,5.37,1.49,50.0%,0.0,30.9%,3.7%
S-周线底启动,601777,千里科技,8.15,1.12,0.0%,0.0,27.3%,4.1%
S-周线底启动,600776,东方通信,12.98,0.63,0.0%,21.3,21.9%,2.0%
S-周线底启动,600232,金鹰股份,6.45,1.08,0.0%,0.0,21.6%,2.4%
S-周线底启动,002951,金时科技,13.71,1.0,42.9%,29.9,19.2%,2.1%
S-周线底启动,601798,蓝科高新,7.4,0.69,50.0%,24.0,12.7%,1.9%
SSS-战略共振,600158,中体产业,6.8,1.43,100.0%,0.0,52.6%,-0.2%
SSS-战略共振,000586,汇源通信,13.27,0.68,100.0%,12.2,33.6%,0.2%
SSS-战略共振,002632,道明光学,8.93,0.88,100.0%,14.4,20.2%,2.3%
SSS-战略共振,002340,格林美,6.69,0.81,100.0%,9.8,19.1%,1.5%
SSS-战略共振,600192,长城电工,6.61,0.73,100.0%,21.9,18.9%,1.4%
SSS-战略共振,002357,富临运业,9.11,0.94,100.0%,19.5,17.6%,0.7%
SSS-战略共振,000612,焦作万方,10.75,1.05,100.0%,10.7,13.0%,1.7%
