等级,代码,名称,现价,量比,历史胜率,周线RSI,距60日线,今日涨跌
A-高胜率点火,600201,生物股份,15.78,0.8,100.0%,35.8,-2.3%,0.1%
A-高胜率点火,600595,中孚实业,8.38,0.59,100.0%,36.2,-2.3%,1.0%
A-高胜率点火,000878,云南铜业,22.87,0.68,100.0%,38.1,-11.5%,1.1%
B-普通超跌,600995,南网储能,13.42,0.83,50.0%,41.6,-2.9%,1.0%
B-普通超跌,688575,亚辉龙,15.01,1.06,0.0%,38.3,-0.7%,1.2%
S-周线底启动,600593,大连圣亚,41.44,0.68,40.0%,0.0,9.3%,1.4%
S-周线底启动,603232,格尔软件,22.01,0.94,33.3%,29.4,-0.8%,0.1%
SSS-战略共振,603217,元利科技,25.14,1.08,100.0%,34.0,-0.7%,-0.0%
