等级,代码,名称,现价,量比,历史胜率,周线RSI,距60日线,今日涨跌
S-周线底启动,603035,常熟汽饰,13.71,1.26,50.0%,29.2,6.4%,2.0%
SSS-战略共振,002423,中粮资本,10.12,1.27,100.0%,14.5,6.6%,0.2%
