等级,代码,名称,现价,量比,历史胜率,周线RSI,距60日线,今日涨跌
A-高胜率点火,600189,泉阳泉,8.4,0.8,100.0%,43.0,-7.6%,1.8%
B-普通超跌,603172,万丰股份,22.79,0.74,50.0%,40.1,-8.4%,2.5%
S-周线底启动,002765,蓝黛科技,11.05,0.53,50.0%,10.5,9.9%,0.3%
S-周线底启动,002707,众信旅游,6.98,0.62,50.0%,3.9,7.5%,1.6%
S-周线底启动,000058,深 赛 格,8.62,0.69,0.0%,23.1,7.3%,1.9%
S-周线底启动,000810,创维数字,11.07,0.56,50.0%,11.4,7.0%,0.4%
S-周线底启动,002148,北纬科技,8.14,0.56,0.0%,17.9,7.0%,1.2%
S-周线底启动,002907,华森制药,14.12,0.79,33.3%,24.2,6.9%,0.9%
S-周线底启动,002194,武汉凡谷,12.15,0.67,50.0%,9.9,6.9%,0.3%
S-周线底启动,002600,领益智造,14.48,0.74,50.0%,17.5,6.5%,1.0%
S-周线底启动,002026,山东威达,14.19,0.6,50.0%,21.3,6.4%,1.5%
S-周线底启动,603079,圣达生物,17.6,0.59,50.0%,19.9,6.2%,2.2%
S-周线底启动,002434,万里扬,8.94,0.7,50.0%,26.1,6.1%,1.7%
S-周线底启动,002103,广博股份,9.03,1.09,0.0%,20.2,5.9%,0.3%
S-周线底启动,603602,纵横通信,14.12,0.66,0.0%,23.6,5.7%,1.4%
S-周线底启动,002769,普路通,11.2,0.58,0.0%,9.5,5.4%,1.1%
S-周线底启动,002691,冀凯股份,8.31,1.09,50.0%,29.9,5.2%,2.2%
S-周线底启动,600651,飞乐音响,7.54,0.6,0.0%,14.7,5.1%,0.0%
S-周线底启动,002731,萃华珠宝,8.11,0.58,0.0%,14.7,49.4%,5.0%
S-周线底启动,000957,中通客车,11.22,0.52,20.0%,32.5,2.6%,1.0%
S-周线底启动,600877,电科芯片,18.25,0.65,0.0%,22.2,2.2%,0.0%
S-周线底启动,000892,欢瑞世纪,6.63,0.7,42.9%,23.9,14.6%,0.4%
S-周线底启动,000036,华联控股,5.22,0.59,33.3%,11.4,12.2%,1.2%
S-周线底启动,603697,有友食品,11.38,0.54,50.0%,24.8,11.7%,1.2%
S-周线底启动,002695,煌上煌,10.53,0.79,50.0%,17.2,11.5%,1.7%
S-周线底启动,600736,苏州高新,6.56,0.61,50.0%,24.7,1.8%,1.4%
S-周线底启动,001300,三柏硕,16.19,0.63,0.0%,22.3,1.6%,1.6%
S-周线底启动,603272,联翔股份,22.56,0.72,50.0%,31.6,-6.6%,2.2%
S-周线底启动,002254,泰和新材,12.16,0.91,0.0%,35.0,-5.1%,2.3%
S-周线底启动,002811,郑中设计,15.4,0.71,50.0%,29.9,-2.5%,2.4%
SSS-战略共振,002676,顺威股份,7.45,0.87,100.0%,20.3,9.8%,2.2%
SSS-战略共振,600712,南宁百货,6.2,0.83,100.0%,17.9,8.5%,1.5%
SSS-战略共振,603178,圣龙股份,16.74,0.76,66.7%,12.0,8.0%,1.3%
SSS-战略共振,603949,雪龙集团,18.06,0.72,100.0%,18.7,6.9%,1.8%
SSS-战略共振,603679,华体科技,15.16,0.63,100.0%,23.4,6.7%,2.0%
SSS-战略共振,002098,浔兴股份,9.61,0.85,60.0%,24.2,6.5%,1.4%
SSS-战略共振,002590,万安科技,13.72,0.61,100.0%,20.8,6.2%,1.0%
SSS-战略共振,603219,富佳股份,16.9,0.51,100.0%,28.5,2.4%,1.0%
SSS-战略共振,603758,秦安股份,14.01,0.74,100.0%,0.4,18.0%,0.9%
SSS-战略共振,600678,四川金顶,11.46,0.6,75.0%,16.4,12.5%,1.3%
SSS-战略共振,603528,多伦科技,8.95,0.55,100.0%,7.5,12.1%,0.7%
SSS-战略共振,603101,汇嘉时代,8.81,0.61,100.0%,11.6,11.9%,1.3%
SSS-战略共振,002373,千方科技,10.76,0.6,66.7%,13.0,10.2%,0.8%
SSS-战略共振,002023,海特高新,11.87,0.71,100.0%,21.3,10.2%,1.6%
SSS-战略共振,605155,西大门,17.92,0.98,66.7%,29.3,1.2%,2.0%
SSS-战略共振,002960,青鸟消防,11.0,0.57,100.0%,30.4,0.7%,0.9%
SSS-战略共振,600232,金鹰股份,8.2,0.89,66.7%,31.4,0.4%,1.6%
