等级,代码,名称,现价,量比,历史胜率,周线RSI,距60日线,今日涨跌
S-周线底启动,600933,爱柯迪,15.73,1.33,0.0%,19.4,7.4%,1.9%
SSS-战略共振,600480,凌云股份,9.89,1.24,100.0%,18.1,9.2%,0.5%
