代码,名称,现价,涨停日,回调天数,信号强度,操作建议,买入逻辑
603682,锦和商管,8.93,2026-05-12,4,强,每只6000元,回踩实体中轴，量能腰斩(0.49)
600737,中粮糖业,15.44,2026-05-13,3,强,每只6000元,回踩实体中轴，量能腰斩(0.44)
603023,威帝股份,5.05,2026-05-13,3,强,每只6000元,回踩实体中轴，量能腰斩(0.59)
000791,甘肃能源,9.44,2026-05-11,5,强,每只6000元,回踩实体中轴，量能腰斩(0.48)
000533,顺钠股份,13.34,2026-05-13,3,强,每只6000元,回踩实体中轴，量能腰斩(0.59)
600481,双良节能,6.55,2026-05-14,2,强,每只6000元,回踩实体中轴，量能腰斩(0.48)
600449,宁夏建材,14.63,2026-05-14,2,强,每只6000元,回踩实体中轴，量能腰斩(0.52)
000712,锦龙股份,10.84,2026-05-11,5,中,轻仓观察,回踩实体中轴，量能腰斩(0.45)
001313,粤海饲料,8.95,2026-05-13,3,中,轻仓观察,回踩实体中轴，量能腰斩(0.52)
