代码,名称,现价,涨停日,回调天数,信号强度,操作建议,买入逻辑
600556,天下秀,5.12,2026-08-05,3,强,每只6000元,回踩实体中轴，量能腰斩(0.45)
002856,美芝股份,14.31,2026-08-03,5,中,轻仓观察,回踩实体中轴，量能腰斩(0.56)
