代码,名称,现价,涨停日,回调天数,信号强度,操作建议,买入逻辑
002088,鲁阳节能,11.53,2026-01-12,5,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.21
600152,维科技术,7.67,2026-01-12,5,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.49
603138,海量数据,16.33,2026-01-13,4,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.27
600784,鲁银投资,7.2,2026-01-09,6,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.35
605162,新中港,9.43,2026-01-12,5,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.27
002029,七 匹 狼,12.69,2026-01-09,6,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.45
002366,融发核电,8.25,2026-01-08,7,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.43
002659,凯文教育,6.41,2026-01-12,5,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.37
601360,三六零,12.59,2026-01-12,5,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.57
002194,武汉凡谷,13.75,2026-01-14,3,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.25
002103,广博股份,9.79,2026-01-12,5,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.22
603739,蔚蓝生物,15.59,2026-01-13,4,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.62
600552,凯盛科技,14.57,2026-01-12,5,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.36
603687,大胜达,10.75,2026-01-14,3,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.43
002207,准油股份,8.37,2026-01-13,4,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.33
603169,兰石重装,11.66,2026-01-08,7,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.40
002354,天娱数科,7.4,2026-01-12,5,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.45
002278,神开股份,12.92,2026-01-09,6,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.46
600172,黄河旋风,5.95,2026-01-08,7,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.25
002171,楚江新材,14.61,2026-01-12,5,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.47
600973,宝胜股份,7.87,2026-01-09,6,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.35
603878,武进不锈,8.1,2026-01-08,7,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.26
603969,银龙股份,10.88,2026-01-12,5,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.46
