代码,名称,现价,涨停日,回调天数,信号强度,操作建议,买入逻辑
002088,鲁阳节能,11.74,2026-01-12,3,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.47
603918,金桥信息,19.95,2026-01-14,1,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.20
605162,新中港,9.45,2026-01-12,3,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.42
002194,武汉凡谷,14.0,2026-01-14,1,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.74
600552,凯盛科技,14.55,2026-01-12,3,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.55
002187,广百股份,8.11,2026-01-09,4,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.78
600152,维科技术,7.89,2026-01-12,3,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.68
600784,鲁银投资,7.2,2026-01-09,4,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.45
603969,银龙股份,10.49,2026-01-12,3,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.34
002023,海特高新,13.93,2026-01-08,5,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.43
002066,瑞泰科技,19.39,2026-01-12,3,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.27
600143,金发科技,19.69,2026-01-09,4,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.30
600172,黄河旋风,6.12,2026-01-08,5,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.19
002366,融发核电,8.3,2026-01-08,5,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.75
002029,七 匹 狼,12.83,2026-01-09,4,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.77
603878,武进不锈,8.07,2026-01-08,5,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.33
000798,中水渔业,10.96,2026-01-07,6,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.39
600230,沧州大化,15.03,2026-01-06,7,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.56
605228,神通科技,15.63,2026-01-06,7,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.32
603333,尚纬股份,8.42,2026-01-08,5,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.35
600909,华安证券,7.08,2026-01-06,7,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.25
000905,厦门港务,12.91,2026-01-07,6,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.54
605303,园林股份,17.72,2026-01-07,6,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.44
