代码,名称,现价,涨跌幅,换手率,RSI14,历史期望,信号强度,全自动复盘逻辑
002777,久远银海,20.0,0.15%,4.34%,58.77,5.87%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
000159,国际实业,7.05,-1.4%,9.12%,59.74,7.27%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
000565,渝三峡Ａ,8.21,-2.15%,7.59%,64.64,7.73%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
002225,濮耐股份,6.82,-1.45%,4.25%,69.88,6.5%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
603113,金能科技,7.11,1.72%,3.3%,70.75,5.71%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
002373,千方科技,12.64,-0.78%,3.29%,50.72,6.26%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
002319,乐通股份,14.69,-2.39%,9.55%,73.66,7.82%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
600333,长春燃气,6.08,0.33%,5.18%,59.9,5.68%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
002301,齐心集团,8.12,-1.22%,4.07%,52.11,5.75%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
002442,龙星科技,6.47,2.21%,3.19%,60.0,6.74%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
002405,四维图新,10.76,0.47%,4.82%,54.11,5.83%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
002835,同为股份,17.39,1.05%,7.6%,62.42,9.02%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
601390,中国中铁,5.89,1.55%,5.47%,58.86,7.68%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
000722,湖南发展,12.98,0.39%,4.88%,74.32,7.45%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
600552,凯盛科技,14.86,-2.24%,5.37%,57.58,9.72%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
002905,金逸影视,11.56,1.58%,3.99%,57.49,6.56%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
600640,国脉文化,14.32,1.2%,3.22%,53.83,7.61%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
000970,中科三环,14.86,0.95%,7.65%,65.96,6.81%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
002398,垒知集团,5.97,0.67%,6.74%,53.85,5.44%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
603970,中农立华,13.98,-2.03%,5.05%,73.8,5.11%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
603095,越剑智能,18.69,-0.43%,3.39%,60.62,7.64%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
600152,维科技术,7.61,-1.68%,3.73%,52.65,6.3%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
002609,捷顺科技,10.38,0.68%,4.7%,59.0,8.23%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
603012,创力集团,7.98,-0.5%,5.25%,72.98,4.97%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
600732,爱旭股份,14.23,-1.79%,3.31%,55.82,8.16%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
000612,焦作万方,14.96,-0.93%,11.56%,71.6,10.72%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
600359,新农开发,7.63,1.73%,5.3%,56.76,6.06%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
600493,凤竹纺织,7.62,0.0%,3.25%,59.46,6.75%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
603637,镇海股份,12.24,2.17%,8.41%,58.37,5.53%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
002065,东华软件,9.99,0.0%,3.06%,52.08,10.17%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
603356,华菱精工,17.71,-2.21%,4.1%,65.28,6.01%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
600588,用友网络,15.82,1.61%,5.15%,59.28,inf%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
002654,万润科技,15.41,-1.34%,7.24%,53.51,7.39%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
600399,抚顺特钢,6.82,0.44%,5.29%,55.75,6.99%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
601900,南方传媒,15.38,0.2%,3.38%,61.17,6.61%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
600718,东软集团,11.12,0.09%,4.13%,54.91,inf%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
002454,松芝股份,9.4,2.4%,4.78%,62.74,5.88%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
002206,海 利 得,7.26,-1.09%,4.19%,73.28,9.37%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
605136,丽人丽妆,12.14,0.5%,5.69%,58.01,7.1%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
002457,青龙管业,11.94,-1.32%,10.07%,63.81,7.21%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
600641,万业企业,19.3,-1.78%,4.86%,50.26,inf%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
002659,凯文教育,6.57,-2.23%,7.98%,56.25,7.77%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
600977,中国电影,17.21,1.71%,3.1%,63.04,5.17%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
000795,英洛华,10.9,1.68%,7.4%,70.29,7.08%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
601068,中铝国际,6.5,-2.11%,5.24%,66.89,8.03%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
603421,鼎信通讯,7.84,-1.26%,3.26%,59.94,6.73%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
600372,中航机载,16.31,2.13%,3.16%,55.05,10.07%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
603028,赛福天,9.83,-1.9%,5.87%,55.16,5.14%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
603315,福鞍股份,15.85,0.63%,4.18%,56.29,6.65%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
600797,浙大网新,10.79,-0.46%,7.74%,52.63,6.8%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
000514,渝 开 发,5.26,1.54%,4.88%,59.34,8.58%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
002427,尤夫股份,7.6,0.93%,4.13%,61.11,7.89%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
600302,标准股份,13.3,0.68%,4.39%,63.41,5.96%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
600770,综艺股份,6.66,-2.06%,8.21%,71.53,6.85%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
600661,昂立教育,10.79,-0.46%,3.44%,60.0,8.16%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
002068,黑猫股份,9.92,2.06%,7.69%,65.67,6.89%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
600586,金晶科技,6.14,-2.23%,5.28%,50.65,7.62%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
002591,恒大高新,7.43,-1.85%,9.6%,57.2,7.01%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
002806,华锋股份,13.03,-0.69%,5.87%,62.74,8.68%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
002538,司尔特,7.44,-1.72%,4.76%,68.9,6.9%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
002153,石基信息,13.2,0.84%,5.75%,61.02,7.1%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
002296,辉煌科技,13.04,-1.36%,7.39%,57.42,6.53%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
002250,联化科技,17.54,-1.02%,3.78%,58.36,8.3%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
002459,晶澳科技,11.95,0.59%,3.17%,51.76,6.7%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
002095,生 意 宝,18.74,0.43%,3.44%,51.85,7.9%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
600128,苏豪弘业,11.66,0.17%,4.31%,68.57,7.31%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
603018,华设集团,8.2,1.23%,6.57%,73.77,6.47%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
603138,海量数据,17.77,-2.31%,7.37%,69.53,8.71%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
002803,吉宏股份,19.9,1.07%,5.46%,62.58,8.95%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
