代码,名称,现价,涨跌幅,换手率,RSI14,历史期望,信号强度,全自动复盘逻辑
000731,四川美丰,7.1,1.87%,3.53%,75.0,inf%,95%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
002059,云南旅游,5.57,1.83%,3.92%,51.85,6.41%,95%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
600182,S佳通,15.29,2.55%,3.09%,53.1,inf%,95%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
600235,民丰特纸,7.06,2.17%,3.59%,67.57,5.76%,95%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
603231,索宝蛋白,19.92,2.26%,4.86%,73.49,5.24%,95%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
002033,丽江股份,9.74,1.78%,4.24%,64.47,9.86%,95%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
601065,江盐集团,8.81,1.38%,3.51%,69.62,11.01%,95%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
600869,远东股份,12.11,-0.57%,4.31%,69.18,8.42%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
002861,瀛通通讯,19.99,-0.15%,4.66%,58.16,6.41%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
603488,展鹏科技,10.92,-2.06%,5.99%,61.21,6.23%,85%,【缩量洗盘】 精选观察：回踩支撑位不破可试错。
600897,厦门空港,18.37,3.9%,4.32%,66.79,9.59%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
605567,春雪食品,11.75,2.0%,5.06%,69.59,4.1%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
600131,国网信通,19.4,4.86%,4.06%,65.18,7.42%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
603887,城地香江,15.62,10.0%,7.6%,52.34,8.57%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
000020,深华发Ａ,14.92,2.26%,8.91%,52.05,8.0%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
600796,钱江生化,6.83,3.48%,6.83%,69.44,6.59%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
603608,天创时尚,8.33,10.04%,11.58%,69.44,6.44%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
603135,中重科技,11.6,6.72%,7.69%,72.73,5.43%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
002930,宏川智慧,11.77,4.44%,5.63%,64.55,6.41%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
600971,恒源煤电,6.92,2.52%,4.24%,71.15,17.39%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
603876,鼎胜新材,17.09,-0.81%,9.26%,54.89,8.53%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
600977,中国电影,17.79,3.37%,6.12%,63.94,5.17%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
002905,金逸影视,12.15,5.1%,11.37%,62.23,6.56%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
002615,哈尔斯,8.53,4.66%,6.16%,68.5,7.16%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
603687,大胜达,11.5,3.32%,4.16%,58.19,5.12%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
603151,邦基科技,19.91,3.7%,4.57%,70.13,8.71%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
002923,润都股份,14.39,5.34%,11.3%,71.13,6.36%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
002531,天顺风能,7.87,4.93%,6.44%,67.63,6.62%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
002062,宏润建设,10.19,5.82%,4.36%,65.96,7.92%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
000782,恒申新材,5.89,4.25%,6.36%,69.14,5.76%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
600226,亨通股份,6.17,5.47%,4.33%,62.24,7.33%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
601038,一拖股份,15.01,3.37%,3.08%,69.43,7.18%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
600692,亚通股份,7.65,4.79%,10.17%,65.29,5.69%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
603010,万盛股份,12.13,9.97%,4.65%,69.59,8.15%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
600156,华升股份,8.43,5.77%,4.85%,58.33,5.82%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
600097,开创国际,12.3,3.8%,7.28%,60.2,5.78%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
600493,凤竹纺织,7.9,3.67%,6.25%,68.61,6.75%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
