代码,名称,现价,左峰价,成交量比,RSI6,涨跌幅,买入信号强度,操作建议
603608,天创时尚,8.33,7.99,3.97,75.4,10.04,90%,一击必中：动能极强，建议介入
603887,城地香江,15.62,15.5,1.9,72.55,10.0,90%,一击必中：动能极强，建议介入
002562,兄弟科技,7.44,7.11,4.2,71.55,10.06,90%,一击必中：动能极强，建议介入
605151,西上海,22.9,21.18,2.99,100.0,9.99,80%,试错观察：多头趋势，轻仓跟进
603010,万盛股份,12.13,11.45,2.33,85.2,9.97,80%,试错观察：多头趋势，轻仓跟进
002952,亚世光电,23.75,22.18,2.3,94.16,10.0,80%,试错观察：多头趋势，轻仓跟进
600916,中国黄金,14.68,13.5,9.88,98.28,8.74,80%,试错观察：多头趋势，轻仓跟进
600354,敦煌种业,7.92,7.37,1.92,87.94,10.0,80%,试错观察：多头趋势，轻仓跟进
600371,万向德农,10.29,9.5,4.55,90.34,10.05,80%,试错观察：多头趋势，轻仓跟进
600499,科达制造,17.69,16.26,2.52,99.4,8.79,80%,试错观察：多头趋势，轻仓跟进
000777,中核科技,23.46,21.99,4.35,84.84,9.99,80%,试错观察：多头趋势，轻仓跟进
600359,新农开发,7.93,7.85,2.97,66.12,3.93,70%,试错观察：多头趋势，轻仓跟进
002987,京北方,20.29,19.68,3.64,70.12,4.7,70%,试错观察：多头趋势，轻仓跟进
002531,天顺风能,7.87,7.57,3.48,73.73,4.93,70%,试错观察：多头趋势，轻仓跟进
000557,西部创业,5.24,5.11,2.77,78.79,3.56,70%,试错观察：多头趋势，轻仓跟进
600862,中航高科,22.68,22.51,2.06,78.15,2.62,70%,试错观察：多头趋势，轻仓跟进
600796,钱江生化,6.83,6.74,1.92,82.05,3.48,60%,观察
002626,金达威,20.03,19.36,4.69,88.27,5.98,60%,观察
002930,宏川智慧,11.77,11.69,2.59,82.14,4.44,60%,观察
600977,中国电影,17.79,17.5,1.97,89.29,3.37,60%,观察
600971,恒源煤电,6.92,6.84,2.48,82.35,2.52,60%,观察
603013,亚普股份,23.18,22.8,2.83,83.09,5.94,60%,观察
600897,厦门空港,18.37,18.08,2.25,85.82,3.9,60%,观察
600054,黄山旅游,12.75,12.38,1.92,84.75,4.0,60%,观察
002905,金逸影视,12.15,11.83,2.85,96.43,5.1,60%,观察
603733,仙鹤股份,24.32,23.89,2.25,97.38,3.62,60%,观察
002163,海南发展,20.68,19.35,2.46,90.42,6.87,60%,观察
000713,国投丰乐,7.38,7.2,3.04,85.71,3.94,60%,观察
000998,隆平高科,10.51,10.08,2.45,87.18,5.42,60%,观察
600761,安徽合力,22.3,21.38,2.99,84.38,4.3,60%,观察
