代码,名称,现价,涨停日,回调天数,信号强度,操作建议,买入逻辑
002114,罗平锌电,10.1,2026-01-28,2,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.01
002115,三维通信,14.93,2026-01-27,3,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.01
002828,贝肯能源,13.09,2026-01-29,1,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.67
000565,渝三峡Ａ,8.27,2026-01-23,4,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.53
002646,天佑德酒,9.2,2026-01-29,1,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.74
002022,科华生物,6.35,2026-01-26,4,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.63
600078,澄星股份,12.72,2026-01-26,4,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.78
000860,顺鑫农业,14.85,2026-01-29,1,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.67
600172,黄河旋风,6.55,2026-01-27,3,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.01
600059,古越龙山,10.2,2026-01-29,1,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.76
600559,老白干酒,16.13,2026-01-29,1,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.71
002297,博云新材,11.65,2026-01-22,6,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.73
002658,雪迪龙,9.54,2026-01-23,5,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.60
002815,崇达技术,14.88,2026-01-22,6,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.42
000045,深纺织Ａ,12.65,2026-01-21,7,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.33
600246,万通发展,12.43,2026-01-21,7,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.34
002405,四维图新,10.57,2026-01-23,5,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.44
601012,隆基绿能,17.88,2026-01-23,5,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.58
002519,银河电子,7.83,2026-01-22,6,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.38
002634,棒杰股份,5.52,2026-01-27,3,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.02
600732,爱旭股份,13.6,2026-01-23,5,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.66
