代码,名称,现价,左峰价,成交量比,RSI6,涨跌幅,买入信号强度,操作建议
600611,大众交通,5.06,4.92,2.86,77.27,10.0,90%,一击必中：动能极强，建议介入
600615,鑫源智造,12.25,12.1,2.56,66.52,9.96,90%,一击必中：动能极强，建议介入
000417,合百集团,9.53,8.66,3.8,89.67,10.05,80%,试错观察：多头趋势，轻仓跟进
600481,双良节能,7.32,7.21,2.32,75.68,1.53,70%,试错观察：多头趋势，轻仓跟进
603201,XD常润股,17.05,16.73,3.47,87.01,5.7,60%,观察
603725,天安新材,10.88,10.66,2.66,80.71,3.72,60%,观察
000670,盈方微,8.73,8.6,2.22,90.7,4.68,60%,观察
600903,贵州燃气,9.83,9.69,3.79,100.0,1.44,60%,观察
002584,西陇科学,8.46,8.41,2.72,81.67,2.92,60%,观察
603567,珍宝岛,7.67,7.61,3.79,81.43,5.36,60%,观察
