代码,名称,现价,左峰价,成交量比,RSI6,涨跌幅,买入信号强度,操作建议
601611,中国核建,19.21,18.13,1.99,88.78,10.02,80%,试错观察：多头趋势，轻仓跟进
603366,日出东方,10.32,10.19,4.81,88.89,10.02,80%,试错观察：多头趋势，轻仓跟进
002543,万和电气,9.79,9.56,5.76,83.46,10.0,80%,试错观察：多头趋势，轻仓跟进
600057,厦门象屿,8.73,8.7,3.01,75.0,6.33,70%,试错观察：多头趋势，轻仓跟进
002255,海陆重工,13.5,13.28,2.03,64.04,4.73,70%,试错观察：多头趋势，轻仓跟进
001338,永顺泰,13.76,13.24,4.34,87.68,4.8,60%,观察
000695,滨海能源,14.43,13.89,2.14,98.65,4.19,60%,观察
002068,黑猫股份,10.15,10.05,1.91,92.27,3.57,60%,观察
600773,西藏城投,18.25,17.93,1.95,95.29,5.67,60%,观察
600233,圆通速递,20.7,20.04,2.75,82.26,5.02,60%,观察
