代码,名称,现价,涨跌幅,换手率,RSI14,历史期望,信号强度,全自动复盘逻辑
000505,京粮控股,7.2,1.55%,3.92%,58.25,7.84%,95%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
600755,厦门国贸,6.84,1.18%,3.83%,51.25,6.26%,95%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
600546,山煤国际,12.05,2.21%,3.09%,69.38,37.74%,95%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
600732,爱旭股份,14.57,2.75%,5.64%,53.45,8.15%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
603967,中创物流,13.46,2.83%,3.64%,71.1,6.65%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
002401,中远海科,16.8,3.7%,4.6%,59.75,7.65%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
600179,安通控股,5.29,4.55%,7.11%,59.35,6.7%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
000819,岳阳兴长,17.48,6.39%,9.6%,66.76,6.99%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
600127,金健米业,7.01,3.7%,9.05%,51.61,5.45%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
000829,天音控股,11.11,1.09%,4.64%,71.12,6.99%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
600579,中化装备,9.28,1.53%,4.99%,65.08,7.04%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
002531,天顺风能,10.32,4.56%,5.34%,71.79,6.67%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
